departure_city,destination_city,departure_airport,arrival_airport,destination_country_code,price,duration_minutes,flights_per_day,flights_per_week,first_flight,last_flight
Palma de Mallorca,Aarhus,PMI,AAR,DK,40,188,0-1 flights,2,3/24/2018,10/15/2026
Kerkyra/corfu,Aarhus,CFU,AAR,DK,50,185,0-1 flights,1,6/3/2022,9/30/2026
Copenhagen,Aarhus,CPH,AAR,DK,120,40,4-5 flights,29,0,10/15/2026
Alicante,Aarhus,ALC,AAR,DK,120,195,0-1 flights,1,6/30/2020,10/15/2026
Oslo,Aarhus,OSL,AAR,DK,120,65,0-1 flights,6,4/8/2018,9/15/2026
London,Aberdeen,LTN,ABZ,GB,40,85,0-1 flights,6,0,4/9/2027
Gdansk,Aberdeen,GDN,ABZ,GB,50,145,0-1 flights,4,0,11/4/2026
London,Aberdeen,LGW,ABZ,GB,60,100,2 flights,14,0,4/3/2027
Manchester,Aberdeen,MAN,ABZ,GB,60,85,2-4 flights,21,3/28/2022,10/4/2026
Malaga,Aberdeen,AGP,ABZ,GB,60,210,0-1 flights,1,4/4/2019,10/15/2026
London,Aberdeen,LHR,ABZ,GB,70,95,4-7 flights,43,0,4/9/2027
Dublin,Aberdeen,DUB,ABZ,GB,80,95,2-3 flights,16,10/30/2022,10/15/2026
Geneva,Aberdeen,GVA,ABZ,GB,80,145,0-1 flights,1,12/15/2018,11/6/2026
Birmingham,Aberdeen,BHX,ABZ,GB,100,80,1-3 flights,18,8/18/2022,10/4/2026
Alicante,Aberdeen,ALC,ABZ,GB,100,200,0-1 flights,3,9/18/2023,10/15/2026
Faro,Aberdeen,FAO,ABZ,GB,110,210,0-1 flights,2,3/27/2018,10/15/2026
Belfast,Aberdeen,BHD,ABZ,GB,140,60,0-1 flights,5,8/26/2022,10/4/2026
Stavanger,Aberdeen,SVG,ABZ,GB,150,70,0-4 flights,22,0,10/15/2026
Bergen,Aberdeen,BGO,ABZ,GB,150,85,1-2 flights,13,10/29/2018,10/15/2026
Riga,Aberdeen,RIX,ABZ,GB,190,155,0-1 flights,1,5/1/2018,9/29/2026
Amsterdam,Aberdeen,AMS,ABZ,GB,210,90,5 flights,35,0,4/9/2027
Bristol,Aberdeen,BRS,ABZ,GB,220,90,0-2 flights,7,0,10/4/2026
Krakow,Aberdeen,KRK,ABZ,GB,250,160,0-1 flights,2,4/2/2025,10/15/2026
Copenhagen,Aberdeen,CPH,ABZ,GB,270,100,0-1 flights,2,3/27/2022,10/15/2026
Brussels,Abidjan,BRU,ABJ,CI,470,415,0-1 flights,3,10/28/2018,10/15/2026
Paris,Abidjan,ORY,ABJ,CI,530,420,1 flight,7,0,10/31/2026
Paris,Abidjan,CDG,ABJ,CI,540,405,2-3 flights,18,9/1/2020,10/15/2026
Istanbul,Abidjan,IST,ABJ,CI,680,445,0-1 flights,2,4/2/2019,10/15/2026
Yerevan,Abu Dhabi,EVN,AUH,AE,70,190,1 flight,7,2/9/2022,10/15/2026
Athens,Abu Dhabi,ATH,AUH,AE,80,270,1-2 flights,10,10/27/2024,11/1/2026
Baku,Abu Dhabi,GYD,AUH,AE,90,175,0-1 flights,5,3/2/2018,10/15/2026
Budapest,Abu Dhabi,BUD,AUH,AE,90,335,0-1 flights,3,9/16/2025,11/2/2026
Vienna,Abu Dhabi,VIE,AUH,AE,90,330,1 flight,7,5/22/2020,10/31/2026
Bucharest,Abu Dhabi,OTP,AUH,AE,90,298,1 flight,7,8/27/2025,10/31/2026
Antalya,Abu Dhabi,AYT,AUH,AE,100,258,0-1 flights,3,6/1/2023,9/6/2026
Alma-ata,Abu Dhabi,ALA,AUH,AE,110,290,0-1 flights,3,12/5/2024,10/15/2026
Rome,Abu Dhabi,FCO,AUH,AE,120,365,2 flights,14,10/29/2023,4/3/2027
Istanbul,Abu Dhabi,IST,AUH,AE,140,270,4-6 flights,32,0,10/15/2026
Katowice,Abu Dhabi,KTW,AUH,AE,140,345,0-1 flights,2,4/22/2022,11/2/2026
Istanbul,Abu Dhabi,SAW,AUH,AE,140,265,0-2 flights,9,5/2/2018,3/28/2026
Krakow,Abu Dhabi,KRK,AUH,AE,160,340,0-1 flights,5,7/18/2025,11/1/2026
Milano,Abu Dhabi,MXP,AUH,AE,160,365,2-3 flights,17,7/24/2023,10/15/2026
Tbilisi,Abu Dhabi,TBS,AUH,AE,220,195,1 flight,7,3/13/2026,9/15/2026
Izmir,Abu Dhabi,ADB,AUH,AE,220,275,0-1 flights,2,9/12/2023,3/27/2026
Nice,Abu Dhabi,NCE,AUH,AE,320,370,0-1 flights,2,6/15/2022,9/5/2026
Malaga,Abu Dhabi,AGP,AUH,AE,320,425,0-1 flights,2,6/15/2022,10/15/2026
Berlin,Abu Dhabi,BER,AUH,AE,390,375,0-1 flights,1,11/3/2025,5/6/2026
Prague,Abu Dhabi,PRG,AUH,AE,420,325,0-1 flights,4,6/2/2025,10/15/2026
Lisbon,Abu Dhabi,LIS,AUH,AE,430,445,0-1 flights,4,6/18/2023,9/15/2026
London,Abu Dhabi,LHR,AUH,AE,440,415,4 flights,28,8/1/2020,4/3/2027
Geneva,Abu Dhabi,GVA,AUH,AE,460,375,1 flight,7,0,10/15/2026
Paris,Abu Dhabi,CDG,AUH,AE,460,410,2 flights,14,10/29/2023,10/15/2026
Copenhagen,Abu Dhabi,CPH,AUH,AE,470,390,1 flight,7,9/29/2023,10/15/2026
Munich,Abu Dhabi,MUC,AUH,AE,480,355,2 flights,14,0,10/15/2026
Frankfurt,Abu Dhabi,FRA,AUH,AE,480,375,2 flights,14,11/11/2019,10/15/2026
Warsaw,Abu Dhabi,WAW,AUH,AE,490,345,0-1 flights,4,6/3/2025,10/15/2026
Brussels,Abu Dhabi,BRU,AUH,AE,500,390,1 flight,7,0,10/15/2026
Dublin,Abu Dhabi,DUB,AUH,AE,510,445,1-2 flights,10,0,10/15/2026
Zurich,Abu Dhabi,ZRH,AUH,AE,520,360,1-3 flights,16,0,10/15/2026
Barcelona,Abu Dhabi,BCN,AUH,AE,520,375,2 flights,14,11/21/2018,10/15/2026
Madrid,Abu Dhabi,MAD,AUH,AE,530,410,2 flights,14,0,10/15/2026
Amsterdam,Abu Dhabi,AMS,AUH,AE,550,385,1 flight,7,8/2/2020,9/15/2026
Duesseldorf,Abu Dhabi,DUS,AUH,AE,560,375,1 flight,7,11/19/2022,10/15/2026
Manchester,Abu Dhabi,MAN,AUH,AE,630,425,2 flights,14,0,10/15/2026
Frankfurt,Abuja,FRA,ABV,NG,610,370,0-1 flights,5,0,10/15/2026
London,Abuja,LHR,ABV,NG,730,375,1 flight,7,8/1/2020,4/3/2027
Istanbul,Abuja,IST,ABV,NG,770,400,0-2 flights,6,0,10/15/2026
Paris,Abuja,CDG,ABV,NG,790,400,0-1 flights,3,9/3/2020,10/15/2026
Brussels,Accra,BRU,ACC,GH,470,410,0-1 flights,4,8/6/2020,10/15/2026
Rome,Accra,FCO,ACC,GH,530,353,0-1 flights,4,6/6/2024,4/4/2027
Amsterdam,Accra,AMS,ACC,GH,660,390,1 flight,7,0,4/3/2027
London,Accra,LGW,ACC,GH,670,395,0-1 flights,4,10/29/2023,4/6/2027
London,Accra,LHR,ACC,GH,680,395,1 flight,7,5/1/2025,4/4/2027
Istanbul,Accra,IST,ACC,GH,690,440,2-4 flights,22,0,10/15/2026
Lisbon,Accra,LIS,ACC,GH,800,350,0-1 flights,3,8/1/2020,9/15/2026
Madrid,Addis Ababa,MAD,ADD,ET,420,440,0-1 flights,4,6/4/2018,10/15/2026
Istanbul,Addis Ababa,IST,ADD,ET,450,320,2-3 flights,16,11/16/2018,10/15/2026
Athens,Addis Ababa,ATH,ADD,ET,490,315,0-1 flights,3,0,11/2/2026
Frankfurt,Addis Ababa,FRA,ADD,ET,510,410,1 flight,7,10/29/2018,10/31/2026
Vienna,Addis Ababa,VIE,ADD,ET,570,380,1 flight,7,0,11/3/2026
Stockholm,Addis Ababa,ARN,ADD,ET,600,465,0-2 flights,9,0,10/31/2026
Rome,Addis Ababa,FCO,ADD,ET,610,340,1-2 flights,10,0,11/1/2026
London,Addis Ababa,LGW,ADD,ET,640,465,0-1 flights,4,11/21/2023,10/31/2026
Milano,Addis Ababa,MXP,ADD,ET,650,400,1 flight,7,6/15/2019,11/2/2026
London,Addis Ababa,LHR,ADD,ET,700,465,1 flight,7,0,11/4/2026
Paris,Addis Ababa,CDG,ADD,ET,710,440,1 flight,7,0,10/31/2026
Brussels,Addis Ababa,BRU,ADD,ET,710,435,1 flight,7,12/11/2018,11/3/2026
Geneva,Addis Ababa,GVA,ADD,ET,750,410,0-1 flights,6,7/1/2020,11/1/2026
Marseille,Addis Ababa,MRS,ADD,ET,770,385,0-1 flights,4,7/2/2020,10/15/2026
Ankara,Adiyaman,ESB,ADF,TR,40,70,1 flight,7,6/17/2018,9/15/2026
Istanbul,Adiyaman,IST,ADF,TR,60,105,1-4 flights,14,0,10/15/2026
Istanbul,Adiyaman,SAW,ADF,TR,60,100,0-2 flights,6,0,10/15/2026
Valencia,Agadir,VLC,AGA,MA,10,135,0-1 flights,1,3/28/2022,4/15/2026
Tenerife,Agadir,TFS,AGA,MA,10,90,0-1 flights,4,2/1/2022,11/5/2026
Madrid,Agadir,MAD,AGA,MA,10,135,0-1 flights,2,2/2/2022,11/5/2026
Barcelona,Agadir,BCN,AGA,MA,20,160,1 flight,1,2/4/2022,3/25/2026
Toulouse,Agadir,TLS,AGA,MA,20,170,0-1 flights,4,7/13/2018,11/6/2026
Strasbourg,Agadir,SXB,AGA,MA,30,223,0-1 flights,1,4/2/2018,11/5/2026
Bergamo,Agadir,BGY,AGA,MA,30,220,0-1 flights,3,10/28/2019,11/4/2026
Nantes,Agadir,NTE,AGA,MA,30,185,1 flight,7,10/27/2019,11/6/2026
Porto,Agadir,OPO,AGA,MA,30,125,0-1 flights,2,2/2/2022,10/15/2026
Beauvais,Agadir,BVA,AGA,MA,30,220,0-1 flights,4,2/1/2022,11/6/2026
Marseille,Agadir,MRS,AGA,MA,30,185,0-1 flights,5,4/5/2019,11/6/2026
Lisbon,Agadir,LIS,AGA,MA,30,105,0-1 flights,1,10/25/2020,4/9/2027
Bordeaux,Agadir,BOD,AGA,MA,30,175,0-2 flights,5,4/4/2020,11/6/2026
Manchester,Agadir,MAN,AGA,MA,40,240,1-3 flights,12,6/2/2018,4/9/2027
London,Agadir,LTN,AGA,MA,40,235,0-1 flights,5,0,4/7/2027
Hahn,Agadir,HHN,AGA,MA,40,240,0-1 flights,1,8/17/2020,11/6/2026
Frankfurt,Agadir,FRA,AGA,MA,40,243,0-1 flights,2,3/26/2018,11/4/2026
London,Agadir,LGW,AGA,MA,40,230,1-3 flights,12,2/26/2022,4/9/2027
Edinburgh,Agadir,EDI,AGA,MA,40,258,0-2 flights,5,4/1/2024,11/6/2026
Vienna,Agadir,VIE,AGA,MA,50,260,0-1 flights,3,10/29/2019,11/5/2026
Birmingham,Agadir,BHX,AGA,MA,50,235,0-1 flights,3,10/30/2018,11/5/2026
Mulhouse,Agadir,BSL,AGA,MA,50,223,0-1 flights,3,10/29/2018,4/9/2027
Nice,Agadir,NCE,AGA,MA,50,195,0-1 flights,2,10/30/2019,11/4/2026
London,Agadir,STN,AGA,MA,50,230,0-1 flights,6,2/2/2022,11/6/2026
Geneva,Agadir,GVA,AGA,MA,60,210,0-1 flights,3,12/15/2019,4/9/2027
Brussels,Agadir,BRU,AGA,MA,60,255,0-2 flights,6,12/21/2019,4/3/2027
Lyon,Agadir,LYS,AGA,MA,60,200,0-2 flights,5,10/31/2018,4/6/2027
Charleroi,Agadir,CRL,AGA,MA,60,230,1-2 flights,10,2/2/2022,11/6/2026
Paris,Agadir,ORY,AGA,MA,70,220,3-5 flights,27,10/16/2024,11/6/2026
Gran Canaria,Agadir,LPA,AGA,MA,70,95,0-1 flights,1,10/26/2020,10/31/2026
Weeze,Agadir,NRN,AGA,MA,70,245,0-2 flights,4,3/25/2018,11/5/2026
Duesseldorf,Agadir,DUS,AGA,MA,70,245,0-1 flights,2,3/18/2018,11/4/2026
Glasgow,Agadir,GLA,AGA,MA,70,255,0-1 flights,3,11/3/2022,11/2/2026
Dublin,Agadir,DUB,AGA,MA,80,240,0-1 flights,2,2/4/2022,11/6/2026
Cologne,Agadir,CGN,AGA,MA,80,240,0-1 flights,2,10/29/2023,10/15/2026
Paris,Agadir,CDG,AGA,MA,80,215,0-1 flights,2,7/17/2018,4/9/2027
Karlsruhe/Baden-Baden,Agadir,FKB,AGA,MA,100,235,0-1 flights,2,2/3/2022,11/4/2026
Bristol,Agadir,BRS,AGA,MA,110,220,0-2 flights,4,10/6/2024,11/3/2026
Berlin,Agadir,BER,AGA,MA,110,275,0-1 flights,2,11/4/2020,10/31/2026
Wroclaw,Agadir,WRO,AGA,MA,120,275,0-1 flights,2,10/31/2023,11/6/2026
Krakow,Agadir,KRK,AGA,MA,130,285,0-1 flights,3,2/6/2022,11/6/2026
Stockholm,Agadir,ARN,AGA,MA,130,315,0-1 flights,1,3/17/2018,5/15/2026
Warsaw,Agadir,WAW,AGA,MA,160,290,0-1 flights,2,1/28/2022,3/27/2026
Lille,Agadir,LIL,AGA,MA,170,238,0-1 flights,2,11/10/2024,4/3/2027
Munich,Agadir,MUC,AGA,MA,180,240,0-1 flights,2,5/1/2018,4/30/2026
Copenhagen,Agadir,CPH,AGA,MA,220,285,0-1 flights,1,3/17/2018,10/10/2026
Amsterdam,Agadir,AMS,AGA,MA,220,240,0-1 flights,4,11/2/2019,3/31/2026
Hamburg,Agadir,HAM,AGA,MA,240,275,0-1 flights,1,11/6/2018,4/27/2026
Stuttgart,Agadir,STR,AGA,MA,240,235,0-1 flights,1,5/1/2018,4/12/2026
Oslo,Agadir,OSL,AGA,MA,250,310,0-1 flights,1,3/17/2018,5/15/2026
Luxemburg,Agadir,LUX,AGA,MA,280,225,0-1 flights,2,2/5/2022,11/6/2026
Leeds,Agadir,LBA,AGA,MA,280,240,0-1 flights,2,10/3/2024,10/15/2026
Zurich,Agadir,ZRH,AGA,MA,320,220,0-1 flights,1,9/3/2020,10/15/2026
Helsinki,Agadir,HEL,AGA,MA,380,340,0-1 flights,1,11/3/2018,1/5/2026
Keflavik,Agadir,KEF,AGA,MA,510,325,0,0,12/19/2025,6/13/2026
Ankara,Agri,ESB,AJI,TR,70,95,1-2 flights,8,0,9/15/2026
Istanbul,Agri,IST,AJI,TR,80,130,2-4 flights,18,0,10/15/2026
Istanbul,Agri,SAW,AJI,TR,90,125,0-1 flights,5,12/17/2021,10/15/2026
London,Ahmedabad,LGW,AMD,IN,520,530,0-1 flights,3,7/15/2025,4/3/2027
London,Ahmedabad,LHR,AMD,IN,630,525,0-1 flights,3,8/2/2025,10/25/2025
Nantes,Ajaccio,NTE,AJA,FR,30,105,1-3 flights,10,4/21/2018,10/15/2026
Luxemburg,Ajaccio,LUX,AJA,FR,30,100,0-1 flights,2,4/21/2018,9/15/2026
Lyon,Ajaccio,LYS,AJA,FR,30,70,0-3 flights,7,3/30/2018,4/8/2027
Bordeaux,Ajaccio,BOD,AJA,FR,30,95,0-1 flights,2,6/7/2018,10/15/2026
Strasbourg,Ajaccio,SXB,AJA,FR,30,90,0-1 flights,2,4/21/2018,10/15/2026
Toulouse,Ajaccio,TLS,AJA,FR,30,80,0-1 flights,2,9/15/2018,10/31/2026
Montpellier,Ajaccio,MPL,AJA,FR,30,65,0-1 flights,1,4/14/2018,10/15/2026
Lille,Ajaccio,LIL,AJA,FR,40,120,0-1 flights,5,4/21/2018,10/15/2026
Geneva,Ajaccio,GVA,AJA,FR,60,75,0-1 flights,3,3/28/2018,4/9/2027
Mulhouse,Ajaccio,BSL,AJA,FR,60,85,0-1 flights,4,3/29/2018,4/9/2027
Brest,Ajaccio,BES,AJA,FR,70,125,0-1 flights,1,3/31/2018,10/15/2026
Charleroi,Ajaccio,CRL,AJA,FR,80,105,0-1 flights,1,3/29/2018,10/15/2026
Paris,Ajaccio,CDG,AJA,FR,80,110,0-1 flights,2,3/27/2018,4/9/2027
Nice,Ajaccio,NCE,AJA,FR,100,50,2-3 flights,18,0,4/4/2027
Rennes,Ajaccio,RNS,AJA,FR,100,110,1 flight,1,4/21/2018,9/5/2026
Paris,Ajaccio,ORY,AJA,FR,100,95,3-4 flights,24,4/20/2019,11/6/2026
Marseille,Ajaccio,MRS,AJA,FR,110,50,2-3 flights,20,0,4/9/2027
Oslo,Ajaccio,OSL,AJA,FR,140,185,0-1 flights,2,6/19/2018,8/14/2026
Rome,Ajaccio,FCO,AJA,FR,220,65,0-1 flights,2,2/3/2019,9/22/2026
Baku,Aktau,GYD,SCO,KZ,80,65,1 flight,7,12/15/2023,10/15/2026
Alma-ata,Aktau,ALA,SCO,KZ,80,205,3-5 flights,27,1/3/2025,11/5/2026
Istanbul,Aktau,SAW,SCO,KZ,130,180,0-1 flights,3,0,3/28/2026
Istanbul,Aktau,IST,SCO,KZ,130,185,0-1 flights,3,10/29/2018,10/15/2026
Kutaisi,Aktau,KUT,SCO,KZ,170,90,0-1 flights,2,1/3/2025,10/15/2026
Tbilisi,Aktau,TBS,SCO,KZ,220,65,0-1 flights,3,0,9/15/2026
Alma-ata,Aktobe,ALA,AKX,KZ,80,165,3-4 flights,24,6/1/2019,10/15/2026
London,Akureyri,LGW,AEY,IS,70,200,0-1 flights,2,10/31/2023,11/6/2026
Manchester,Akureyri,MAN,AEY,IS,90,180,0-1 flights,1,11/12/2024,11/6/2026
Brussels,Al Hoceima,BRU,AHU,MA,110,205,0-1 flights,2,7/3/2018,4/4/2027
Rotterdam,Al Hoceima,RTM,AHU,MA,160,180,0-1 flights,3,1/25/2022,11/4/2026
Eindhoven,Al Hoceima,EIN,AHU,MA,520,205,0-1 flights,2,6/28/2024,5/15/2026
Southampton,Alderney,SOU,ACI,GG,190,50,2 flights,14,10/27/2019,10/15/2026
Istanbul,Alexandria,IST,HBE,EG,140,135,1-3 flights,12,4/2/2024,10/15/2026
Bergamo,Alexandria,BGY,HBE,EG,150,210,0-1 flights,1,5/4/2018,10/19/2025
Istanbul,Alexandria,SAW,HBE,EG,150,125,0-1 flights,4,0,3/28/2026
Athens,Alexandria,ATH,HBE,EG,190,105,0-1 flights,3,4/4/2018,9/15/2026
Athens,Alexandroupolis,ATH,AXD,GR,70,75,6-7 flights,43,5/1/2018,11/1/2026
Heraklion,Alexandroupolis,HER,AXD,GR,120,75,0-1 flights,1,6/22/2023,9/17/2026
Bari,Alghero,BRI,AHO,IT,10,90,0-1 flights,3,3/18/2023,9/29/2026
Bergamo,Alghero,BGY,AHO,IT,20,80,0-1 flights,2,0,4/9/2027
Catania,Alghero,CTA,AHO,IT,20,95,0-1 flights,3,3/30/2022,9/30/2026
Bordeaux,Alghero,BOD,AHO,IT,20,90,0-1 flights,2,6/2/2023,8/28/2026
Naples,Alghero,NAP,AHO,IT,20,75,0-1 flights,2,5/13/2018,11/5/2026
Barcelona,Alghero,BCN,AHO,IT,20,85,0-1 flights,6,9/15/2019,10/15/2026
Venice,Alghero,VCE,AHO,IT,20,85,0-1 flights,2,3/24/2018,9/30/2026
Torino,Alghero,TRN,AHO,IT,20,70,0-1 flights,2,3/29/2022,8/28/2026
Madrid,Alghero,MAD,AHO,IT,30,115,0-1 flights,2,5/7/2018,10/15/2026
Bologna,Alghero,BLQ,AHO,IT,30,75,1-2 flights,12,0,4/9/2027
Villafranca,Alghero,VRN,AHO,IT,30,80,0-1 flights,1,5/26/2018,9/15/2026
Memmingen,Alghero,FMM,AHO,IT,30,95,0-1 flights,2,3/25/2018,4/15/2026
Palermo,Alghero,PMO,AHO,IT,30,75,0-1 flights,2,3/28/2022,10/15/2026
Milano,Alghero,MXP,AHO,IT,30,80,0-1 flights,2,3/26/2018,11/6/2026
Pescara,Alghero,PSR,AHO,IT,30,75,0-1 flights,3,3/29/2022,9/30/2026
Pisa,Alghero,PSA,AHO,IT,30,65,0-2 flights,6,0,11/6/2026
Bucharest,Alghero,OTP,AHO,IT,30,160,0-1 flights,3,4/2/2024,10/15/2026
London,Alghero,STN,AHO,IT,40,150,0-1 flights,3,3/27/2018,4/15/2026
Bratislava,Alghero,BTS,AHO,IT,40,120,0-2 flights,4,3/27/2018,10/15/2026
Charleroi,Alghero,CRL,AHO,IT,40,120,0-1 flights,2,3/25/2018,10/15/2026
Hahn,Alghero,HHN,AHO,IT,50,110,0-1 flights,2,3/26/2018,9/29/2025
Rome,Alghero,FCO,AHO,IT,60,65,4 flights,28,4/17/2019,4/5/2026
Florence,Alghero,FLR,AHO,IT,60,60,0-1 flights,2,7/6/2025,8/30/2026
Budapest,Alghero,BUD,AHO,IT,60,130,0-1 flights,3,6/16/2018,9/15/2026
Katowice,Alghero,KTW,AHO,IT,60,140,0-1 flights,6,6/2/2018,10/15/2026
Milan,Alghero,LIN,AHO,IT,60,70,3 flights,21,6/15/2019,4/5/2026
Paris,Alghero,ORY,AHO,IT,70,115,0-1 flights,1,3/31/2025,10/15/2026
Cork,Alghero,ORK,AHO,IT,80,160,0-1 flights,1,3/27/2023,10/15/2026
Dublin,Alghero,DUB,AHO,IT,100,175,0-1 flights,2,5/24/2020,10/15/2026
Sofia,Alghero,SOF,AHO,IT,130,140,0-1 flights,1,6/19/2025,10/15/2026
Belgrade,Alghero,BEG,AHO,IT,210,130,0-1 flights,1,6/10/2025,9/11/2026
Barcelona,Algiers,BCN,ALG,DZ,40,75,1-3 flights,14,0,4/5/2027
Marseille,Algiers,MRS,ALG,DZ,50,100,2-4 flights,22,6/7/2018,4/7/2027
Bordeaux,Algiers,BOD,ALG,DZ,60,115,0-1 flights,6,12/17/2021,11/6/2026
Madrid,Algiers,MAD,ALG,DZ,70,95,1-2 flights,10,8/1/2020,11/6/2026
Alicante,Algiers,ALC,ALG,DZ,80,65,2-3 flights,15,12/16/2021,4/5/2027
Lyon,Algiers,LYS,ALG,DZ,90,115,2-4 flights,22,9/16/2018,11/5/2026
Montpellier,Algiers,MPL,ALG,DZ,90,100,0-2 flights,5,7/8/2020,11/5/2026
Paris,Algiers,ORY,ALG,DZ,100,145,7-8 flights,53,3/14/2020,11/6/2026
Toulouse,Algiers,TLS,ALG,DZ,100,95,0-2 flights,7,10/3/2020,11/6/2026
Paris,Algiers,CDG,ALG,DZ,100,140,7-10 flights,62,7/29/2019,4/6/2027
Nice,Algiers,NCE,ALG,DZ,100,95,0-1 flights,5,7/14/2020,11/6/2026
Nantes,Algiers,NTE,ALG,DZ,110,135,0-1 flights,4,3/15/2020,11/4/2026
Lille,Algiers,LIL,ALG,DZ,120,150,0-2 flights,9,5/21/2020,11/6/2026
Vienna,Algiers,VIE,ALG,DZ,130,170,0-1 flights,1,6/19/2024,11/6/2026
Brussels,Algiers,BRU,ALG,DZ,130,165,0-2 flights,4,12/17/2021,11/5/2026
Strasbourg,Algiers,SXB,ALG,DZ,140,140,0-1 flights,1,12/15/2022,11/3/2026
Frankfurt,Algiers,FRA,ALG,DZ,140,150,1-2 flights,11,0,11/3/2026
Geneva,Algiers,GVA,ALG,DZ,150,120,0-1 flights,4,12/16/2021,11/6/2026
London,Algiers,STN,ALG,DZ,150,175,0-1 flights,4,3/30/2025,9/15/2026
Lisbon,Algiers,LIS,ALG,DZ,160,105,0-1 flights,1,12/17/2021,11/4/2026
Palma de Mallorca,Algiers,PMI,ALG,DZ,170,75,0-1 flights,2,12/16/2021,11/4/2026
London,Algiers,LGW,ALG,DZ,180,165,1 flight,7,10/29/2023,4/8/2027
Istanbul,Algiers,SAW,ALG,DZ,180,220,1-2 flights,9,1/6/2025,10/15/2026
Rome,Algiers,FCO,ALG,DZ,180,115,1-3 flights,12,0,4/5/2027
Istanbul,Algiers,IST,ALG,DZ,180,225,9-11 flights,67,0,10/15/2026
London,Algiers,LHR,ALG,DZ,190,175,0-1 flights,5,10/30/2022,11/2/2026
Milano,Algiers,MXP,ALG,DZ,200,120,0-1 flights,3,12/17/2021,11/3/2026
Palma de Mallorca,Alguaire,PMI,ILD,ES,110,65,0-1 flights,3,0,6/29/2026
Palma de Mallorca,Alicante,PMI,ALC,ES,10,60,3-5 flights,29,3/17/2019,4/9/2027
Ibiza,Alicante,IBZ,ALC,ES,20,55,0-2 flights,8,12/23/2017,4/9/2027
Klagenfurt,Alicante,KLU,ALC,ES,20,155,0-1 flights,1,5/3/2023,4/15/2026
Nantes,Alicante,NTE,ALC,ES,20,115,0-2 flights,6,4/8/2018,4/7/2027
Lyon,Alicante,LYS,ALC,ES,20,115,0-2 flights,4,4/8/2018,4/9/2027
Billund,Alicante,BLL,ALC,ES,20,185,0-1 flights,2,9/15/2018,11/6/2026
Sevilla,Alicante,SVQ,ALC,ES,20,75,0-1 flights,5,2/7/2018,4/9/2027
Menorca,Alicante,MAH,ALC,ES,20,75,0-1 flights,2,2/1/2018,9/27/2026
Marseille,Alicante,MRS,ALC,ES,20,95,0-1 flights,5,3/31/2018,4/9/2027
Santiago,Alicante,SCQ,ALC,ES,20,90,0-2 flights,8,4/6/2018,4/9/2027
Milano,Alicante,MXP,ALC,ES,30,125,1-2 flights,11,4/26/2018,11/6/2026
Porto,Alicante,OPO,ALC,ES,30,95,0-1 flights,2,4/3/2019,11/6/2026
Copenhagen,Alicante,CPH,ALC,ES,30,205,2-4 flights,19,12/23/2017,4/9/2027
Toulouse,Alicante,TLS,ALC,ES,30,85,0-1 flights,2,4/15/2018,11/6/2026
Rome,Alicante,FCO,ALC,ES,30,135,0-2 flights,9,7/31/2020,11/6/2026
