hotel_name,destination_city,area,price_per_stay,rating_score,stars,breakfast,distance,description,reviews,guest_reviews
Amadi Panorama Hotel,Amsterdam,IJburg,459,7.9,4,,6.6 km from center,Deluxe Single Room with View,"3,559 reviews",
Motel One Amsterdam,Amsterdam,Zuideramstel,459,8.6,3,,3.8 km from center,Double Room,"5,130 reviews",
AmicitiA,Amsterdam,Amsterdam City Center,464,7.1,0,Breakfast included,1.2 km from center,Twin Cabin,"1,288 reviews",
Hampton By Hilton Amsterdam Arena Boulevard,Amsterdam,Zuidoost,466,8.1,3,Breakfast included,7.6 km from center,Double Room,"6,828 reviews",
Best Western Amsterdam,Amsterdam,Slotervaart,474,7.7,3,,4.3 km from center,Comfort Double Room,"6,328 reviews",
Hotel Torenzicht,Amsterdam,Amsterdam City Center,483,7.6,1,Breakfast included,350 m from center,Single Room with Shared Bathroom,"1,193 reviews",
Courtyard by Marriott Amsterdam Arena Atlas,Amsterdam,Zuidoost,498,8.1,4,,7.9 km from center,"Standard King Room, Guest room, 1 King","1,389 reviews",
"Holiday Inn Amsterdam - Arena Towers, an IHG Hotel",Amsterdam,Zuidoost,506,7.8,4,,7.8 km from center,Standard Queen Room - Accessible,"1,938 reviews",
Koopermoolen,Amsterdam,Amsterdam City Center,507,7.4,2,Breakfast included,0.6 km from center,Single Room,"1,579 reviews",Location 9.5
Volkshotel,Amsterdam,Oost,508,8.5,0,,2.5 km from center,Sleep Cabin with Shared Bathroom,"2,701 reviews",
"Holiday Inn Express Amsterdam - Sloterdijk Station, an IHG Hotel",Amsterdam,Westpoort,515,7.8,3,Breakfast included,4.1 km from center,Standard Double Room,"5,671 reviews",
Park Inn by Radisson Amsterdam City West,Amsterdam,Westpoort,518,7.8,4,,3.9 km from center,Standard Room,"12,817 reviews",
"Holiday Inn Express Amsterdam - South, an IHG Hotel",Amsterdam,Zuideramstel,519,8.1,3,Breakfast included,5.5 km from center,Double or Twin Room,"2,043 reviews",
"Holiday Inn Express Amsterdam Arena Towers, an IHG Hotel",Amsterdam,Zuidoost,519,7.9,3,Breakfast included,7.8 km from center,Standard Double Room - Disability Access,"9,932 reviews",
The Social Hub Amsterdam West,Amsterdam,Slotervaart,523,8.1,3,,3.9 km from center,Executive Double Room,"2,119 reviews",
DoubleTree by Hilton Amsterdam - NDSM Wharf,Amsterdam,Amsterdam Noord,533,8.5,4,,3.1 km from center,Single Guest Room with Double Bed,"1,634 reviews",
Hotel Allure,Amsterdam,Amsterdam City Center,538,7.6,3,,1.7 km from center,Single Room,"1,512 reviews",
Mercure Amsterdam City Hotel,Amsterdam,Oost,538,8.3,4,,4.4 km from center,Classic Double Room,"2,377 reviews",
ibis Amsterdam City West,Amsterdam,Westpoort,538,7.8,3,,3.6 km from center,Double Room,"2,793 reviews",
XO Hotels Park West,Amsterdam,Sloterdijk,540,8.4,4,,3.4 km from center,Single Room,"6,793 reviews",
The Social Hub Amsterdam West 4 star,Amsterdam,Slotervaart,549,8.4,4,,3.8 km from center,Deluxe Double Room,860 reviews,
Via Suites,Amsterdam,Bijlmermeer,554,8.2,4,,6.6 km from center,Deluxe Suite,"1,295 reviews",
Met Hotel Amsterdam,Amsterdam,Slotervaart,558,9.0,3,,4.1 km from center,Queen Room without Window,"1,461 reviews",
The Arcade Hotel Amsterdam,Amsterdam,Oud Zuid,558,7.9,3,,2.2 km from center,Single Room,"1,286 reviews",
XO Hotels Couture,Amsterdam,Slotervaart,560,8.5,4,,4.3 km from center,Standard Twin Room,"5,304 reviews",
NH Amsterdam Zuid,Amsterdam,Zuideramstel,562,8.1,4,,5.2 km from center,Standard Double or Twin Room,995 reviews,
Postillion Hotel Amsterdam,Amsterdam,Oost,563,8.5,4,,4.8 km from center,Standard Double Room,"7,375 reviews",
Rembrandt Square Hotel,Amsterdam,Amsterdam City Center,571,6.9,1,,0.8 km from center,Twin Room with Shared Bathroom,"1,140 reviews",
Qbic Hotel WTC Amsterdam,Amsterdam,Zuideramstel,575,7.8,3,,3.9 km from center,Standard Double Room - No Window,"2,375 reviews",
Hotel de Westertoren,Amsterdam,Amsterdam City Center,577,7.6,2,Breakfast included,450 m from center,Single Room with Shared Toilet,942 reviews,Location 9.4
Leonardo Hotel Amsterdam City Center,Amsterdam,Oud West,582,7.7,4,,1.6 km from center,Comfort Double Room,"2,078 reviews",
The Alfred Hotel,Amsterdam,Oud Zuid,583,7.1,3,,2.6 km from center,Standard Double Room,"2,849 reviews",
Four Elements Hotel,Amsterdam,IJburg,588,8.2,4,,7.9 km from center,Comfort Double Room,"4,001 reviews",
Leonardo Royal Hotel Amsterdam,Amsterdam,Oost,594,8.3,4,,4.8 km from center,Double Room,"4,988 reviews",
Max Brown Hotel Museum Square,Amsterdam,Oud Zuid,598,7.9,3,,1.6 km from center,Small Twin Room,882 reviews,Location 9.5
Hotel V Fizeaustraat,Amsterdam,Oost,598,8.8,4,,3.8 km from center,Double Room,"2,540 reviews",
"Holiday Inn Express Amsterdam - North Riverside, an IHG Hotel",Amsterdam,Amsterdam Noord,607,8.4,3,Breakfast included,2.2 km from center,Standard Double Room,"9,327 reviews",
Amadi Park Hotel,Amsterdam,Oud West,608,7.9,4,,1.6 km from center,Single Room,"1,283 reviews",
Motel One Amsterdam-Waterlooplein,Amsterdam,Amsterdam City Center,608,8.8,0,,1 km from center,Standard Queen Room,"2,889 reviews",
B&B Modern Times,Amsterdam,Zuidoost,610,9.6,3,Breakfast included,8.8 km from center,Deluxe Single Room,183 reviews,
Mercure Amsterdam Sloterdijk Station,Amsterdam,Westpoort,610,8.3,4,,4.3 km from center,Classic Double Room,"3,615 reviews",
Hotel Cornelisz,Amsterdam,Oud Zuid,628,8.5,3,,1.5 km from center,Single Room,"1,223 reviews",Location 9.4
Cityview Hotel,Amsterdam,Amsterdam City Center,632,7.9,3,,0.8 km from center,Single Room,752 reviews,Location 9.4
WestCord Fashion Hotel Amsterdam,Amsterdam,Slotervaart,633,8.2,4,,3.7 km from center,Superior Double or Twin Room,"2,680 reviews",
OZO Hotels Cordial Amsterdam,Amsterdam,Amsterdam City Center,638,6.8,3,,250 m from center,Budget Single Room,"1,997 reviews",Location 9.3
Delta Hotel City Center,Amsterdam,Amsterdam City Center,638,6.4,3,Breakfast included,400 m from center,Single Room,"1,531 reviews",Location 9.4
The Muse Amsterdam - Boutique Hotel,Amsterdam,Oud Zuid,651,8.1,3,,2.3 km from center,Small Single Room,909 reviews,
Jaz in the City Amsterdam,Amsterdam,Zuidoost,651,8.7,4,,7.2 km from center,Superior Double Room,"6,456 reviews",
Prinsengracht Hotel,Amsterdam,Amsterdam City Center,657,7.9,3,,1.2 km from center,Single Room,912 reviews,Location 9.3
WestCord Art Hotel Amsterdam 4 stars,Amsterdam,Westerpark,658,8.0,4,,2.8 km from center,Large Room,706 reviews,
Moxy Amsterdam Houthavens,Amsterdam,Westpoort,674,8.1,4,,3.4 km from center,Double Room - Moxy Sleeper Queen,"1,495 reviews",
the niu Fender,Amsterdam,Zeeburg,678,8.2,4,,3.9 km from center,Standard Double or Twin Room,"4,566 reviews",
citizenM Amsterdam South,Amsterdam,Zuideramstel,683,8.7,4,,3.6 km from center,King Room,"2,099 reviews",
Hotel V Frederiksplein,Amsterdam,Amsterdam City Center,688,7.8,3,,1.6 km from center,Small Double Room,"1,113 reviews",
The Manor Amsterdam,Amsterdam,Oost,693,8.3,4,,2.7 km from center,Superior King Room,"2,058 reviews",
Apollofirst Boutique Hotel,Amsterdam,Oud Zuid,711,8.7,4,,2.8 km from center,Comfort Twin/Double Room,945 reviews,
Hotel Casa Amsterdam,Amsterdam,Oost,713,8.7,3,,3.1 km from center,Double Room,"5,707 reviews",
Novotel Amsterdam City,Amsterdam,Zuideramstel,723,8.2,4,,4.4 km from center,Standard Room with Queen Bed,"3,768 reviews",
"Crowne Plaza Amsterdam - South, an IHG Hotel",Amsterdam,Zuideramstel,729,8.4,4,,4.3 km from center,Superior Double Room,718 reviews,
Hotel CC,Amsterdam,Amsterdam City Center,756,8.0,3,,500 m from center,Single Room,"3,914 reviews",Location 9.5
Avenue Hotel,Amsterdam,Amsterdam City Center,763,7.3,3,,450 m from center,Single Room,"2,999 reviews",
Multatuli Hotel,Amsterdam,Amsterdam City Center,763,7.6,3,Breakfast included,0.7 km from center,Single Room,"1,785 reviews",Location 9.4
Hotel Espresso,Amsterdam,Oud West,793,7.6,3,,1.6 km from center,Small Double Room,"1,740 reviews",
Element Amsterdam,Amsterdam,Zuideramstel,796,8.7,4,Breakfast included,4.7 km from center,"Studio, Studio, 1 King",701 reviews,
ibis Amsterdam Centre Stopera,Amsterdam,Amsterdam City Center,798,7.8,3,,1 km from center,Standard Double Room,"2,992 reviews",
Hotel Library Amsterdam,Amsterdam,Amsterdam City Center,806,8.0,3,,0.9 km from center,Single Room,"2,046 reviews",
Hotel Prins Hendrik,Amsterdam,Amsterdam City Center,812,8.2,3,Breakfast included,0.6 km from center,Double or Twin Room,"2,654 reviews",Location 9.6
Boutique Hotel Notting Hill,Amsterdam,Amsterdam City Center,818,8.7,4,,1.7 km from center,Souterrain Double Room (Below Street Level with Limited View),"2,651 reviews",
Hotel Arena,Amsterdam,Oost,822,8.2,4,,2 km from center,Classic Double or Twin Room,"2,819 reviews",
Conscious Hotel Westerpark,Amsterdam,Westerpark,823,8.4,4,,1.9 km from center,Double Room,"2,713 reviews",
Rokin Hotel,Amsterdam,Amsterdam City Center,829,7.8,3,,250 m from center,Double room - Cellar,"1,758 reviews",Location 9.6
Hotel Pontsteiger,Amsterdam,Westerpark,832,7.7,4,,2.2 km from center,Comfort Double or Twin Room,"1,529 reviews",
Mozart Hotel,Amsterdam,Amsterdam City Center,838,7.3,2,,1.1 km from center,Standard Double or Twin Room,"4,032 reviews",
ibis Styles Amsterdam Amstel,Amsterdam,Oud Zuid,843,8.1,3,,1.7 km from center,Standard Single Room,793 reviews,
Jan Luyken Hotel Amsterdam,Amsterdam,Oud Zuid,845,8.3,4,,1.7 km from center,Single Room,706 reviews,Location 9.6
Hotel JL No76,Amsterdam,Oud Zuid,855,8.0,4,,1.7 km from center,Comfort Double or Twin Room,"1,583 reviews",Location 9.3
The Lancaster Hotel Amsterdam,Amsterdam,Amsterdam City Center,859,8.0,4,,1.6 km from center,Small Double Room,"2,796 reviews",
ibis Amsterdam Centre,Amsterdam,Amsterdam City Center,863,7.6,3,,0.8 km from center,Small Double Room,"5,474 reviews",Location 9.3
Conscious Hotel Museum Square,Amsterdam,Oud Zuid,863,8.6,4,,2.2 km from center,Double Room,"1,328 reviews",Location 9.3
Dikker & Thijs Hotel,Amsterdam,Amsterdam City Center,864,8.1,4,,1.1 km from center,Classic Double Room,"1,839 reviews",Location 9.5
Mövenpick Hotel Amsterdam City Centre,Amsterdam,Zeeburg,864,8.1,4,,1.5 km from center,Classic King Room with View,"2,656 reviews",
Eden Hotel Amsterdam,Amsterdam,Amsterdam City Center,882,8.2,4,,0.8 km from center,Standard Single Room,"4,168 reviews",Location 9.4
Hotel Corner House,Amsterdam,Amsterdam City Center,913,7.5,1,,200 m from center,Twin Room,656 reviews,Location 9.4
Hotel van de Vijsel,Amsterdam,Oud West,967,8.1,4,,1.5 km from center,Small Double Room,"2,626 reviews",
Hotel The Exchange,Amsterdam,Amsterdam City Center,967,7.6,3,,350 m from center,Economy Double Room,"3,140 reviews",Location 9.5
Hotel Jakarta Amsterdam,Amsterdam,Zeeburg,988,8.9,4,Breakfast included,2.1 km from center,Superior Room with Shower,"5,395 reviews",
ibis Styles Amsterdam City,Amsterdam,Oud Zuid,1008,8.3,3,,1.7 km from center,Standard Twin Room,"1,390 reviews",
Hotel 83,Amsterdam,Amsterdam City Center,1013,6.9,2,,350 m from center,Standard Double Room,715 reviews,
Van der Valk Hotel Amsterdam Zuidas -Rai,Amsterdam,Zuideramstel,1013,8.7,4,,4.1 km from center,Comfort King Room,"1,773 reviews",
Grand Hotel Amrâth Amsterdam,Amsterdam,Amsterdam City Center,1020,7.9,5,,0.8 km from center,Single Room,"2,415 reviews",
Park Centraal Amsterdam,Amsterdam,Oud Zuid,1033,8.3,4,,1.4 km from center,Deluxe Twin Room,"1,611 reviews",Location 9.4
NH Amsterdam Museum Quarter,Amsterdam,Oud Zuid,1033,7.9,4,,2 km from center,Standard Double or Twin Room,987 reviews,
"The College Hotel Amsterdam, Autograph Collection",Amsterdam,Oud Zuid,1043,8.2,4,,2.3 km from center,Superior Queen Room with City View,920 reviews,
Morgan & Mees,Amsterdam,Westerpark,1044,8.8,4,,1.3 km from center,Mini Split Level,236 reviews,
Inntel Hotels Amsterdam Centre,Amsterdam,Amsterdam City Center,1045,8.3,4,,400 m from center,Single Room,"4,602 reviews",Location 9.5
The Bank Hotel,Amsterdam,Amsterdam City Center,1046,8.1,3,,0.9 km from center,Standard Double or Twin Room,"1,432 reviews",Location 9.3
Hotel Amsterdam De Roode Leeuw,Amsterdam,Amsterdam City Center,1048,7.8,4,,100 m from center,Single Room,"1,810 reviews",Location 9.7
ibis Styles Amsterdam Central Station,Amsterdam,Amsterdam City Center,1053,7.9,3,,0.6 km from center,Standard Single Room,"3,112 reviews",Location 9.4
Hotel & Wellness Zuiver,Amsterdam,Zuideramstel,1058,8.2,3,Breakfast included,5.4 km from center,Standard Twin Room with 1 day spa access (day of arrival),"2,008 reviews",
Renaissance Amsterdam Hotel,Amsterdam,Amsterdam City Center,1071,7.3,5,,0.6 km from center,Deluxe Room,"1,231 reviews",
"Kimpton De Witt Amsterdam, an IHG Hotel",Amsterdam,Amsterdam City Center,1071,8.7,5,,0.5 km from center,1 Double Bed City Single Room,"2,303 reviews",Location 9.4
DoubleTree by Hilton Amsterdam Centraal Station,Amsterdam,Amsterdam City Center,1078,7.8,4,,1 km from center,Queen Guest Room,"2,820 reviews",
The Times Hotel,Amsterdam,Amsterdam City Center,1105,8.3,3,,400 m from center,Standard Double Room,"1,753 reviews",Location 9.6
Inntel Hotels Amsterdam Centre,Amsterdam,Amsterdam City Center,1133,8.3,4,,400 m from center,Single Room,"4,602 reviews",Location 9.5
Hilton Amsterdam,Amsterdam,Oud Zuid,1159,8.1,5,,2.8 km from center,Deluxe King Room,660 reviews,
Hyatt Regency Amsterdam,Amsterdam,Amsterdam City Center,1181,8.4,5,,1.8 km from center,Twin Room,"1,737 reviews",
Amsterdam Marriott Hotel,Amsterdam,Oud West,1198,8.0,5,,1.5 km from center,Deluxe Room,"1,055 reviews",Location 9.3
Hotel Mai Amsterdam,Amsterdam,Amsterdam City Center,1213,8.6,4,,0.6 km from center,Comfort Double or Twin Room,"5,672 reviews",Location 9.5
Best Western Dam Square Inn,Amsterdam,Amsterdam City Center,1219,8.0,3,Breakfast included,150 m from center,Twin Room,"1,553 reviews",Location 9.6
"Radisson Blu Hotel, Amsterdam City Center",Amsterdam,Amsterdam City Center,1273,8.5,4,,400 m from center,Standard Double or Twin Room,"4,413 reviews",Location 9.4
Hotel Nes,Amsterdam,Amsterdam City Center,1312,8.1,3,,0.6 km from center,Double Room - Canal View,"1,982 reviews",Location 9.5
NH Collection Amsterdam Barbizon Palace,Amsterdam,Amsterdam City Center,1336,8.4,5,,0.6 km from center,Superior Single Room,"3,643 reviews",Location 9.5
Hotel V Nesplein,Amsterdam,Amsterdam City Center,1357,8.9,4,,250 m from center,Comfort Double or Twin Room,"1,166 reviews",Location 9.7
Hotel Okura Amsterdam – The Leading Hotels of the World,Amsterdam,Oud Zuid,1385,8.7,5,,2.7 km from center,Superior View Room,855 reviews,
NH Collection Amsterdam Doelen,Amsterdam,Amsterdam City Center,1452,8.6,5,,0.6 km from center,Superior Double or Twin Room,"1,094 reviews",Location 9.6
INK Hotel Amsterdam - MGallery,Amsterdam,Amsterdam City Center,1485,8.7,4,,300 m from center,Superior King Room,940 reviews,Location 9.5
Anantara Grand Hotel Krasnapolsky Amsterdam,Amsterdam,Amsterdam City Center,1537,8.8,5,,100 m from center,Premier Double or Twin Room,"5,218 reviews",Location 9.7
Andaz Amsterdam Prinsengracht - a concept by Hyatt,Amsterdam,Amsterdam City Center,1632,8.7,5,,0.9 km from center,Observatory Queen,693 reviews,Location 9.5
W Amsterdam,Amsterdam,Amsterdam City Center,1754,8.0,5,,200 m from center,"Cozy Exchange, Guest room, 1 King, Atrium view",392 reviews,Location 9.4
Sofitel Legend The Grand Amsterdam,Amsterdam,Amsterdam City Center,1932,9.0,5,,250 m from center,Classic Single Room with Garden View,683 reviews,Location 9.6
The Dylan Amsterdam - The Leading Hotels of the World,Amsterdam,Amsterdam City Center,1987,9.2,5,,0.7 km from center,Luxury Single Room,283 reviews,Location 9.7
Hotel Estheréa,Amsterdam,Amsterdam City Center,2215,9.1,4,,400 m from center,Triple Room,"3,423 reviews",Location 9.7
Waldorf Astoria Amsterdam,Amsterdam,Amsterdam City Center,4040,9.6,5,,0.9 km from center,Queen Deluxe Room,206 reviews,Location 9.8
Inn 14 Hostel,Ankara,Ankara,47,8.3,0,,2.5 km from center,Bed in 8-Bed Male Dormitory Room,335 reviews,
Deeps Hostel Ankara,Ankara,Kizilay,51,7.8,0,,1.3 km from center,Bed in 6-Bed Mixed Dormitory Room,410 reviews,
Elegant House Apart Otel,Ankara,Ankara,72,,0,,2.1 km from center,Budget Double Room,,
Black House Apart Otel,Ankara,Ankara,84,5.5,0,,2.2 km from center,Standard Apartment,11 reviews,
Cihan Palas,Ankara,Ulus,89,6.9,3,Breakfast included,3.2 km from center,Standard Single Room,152 reviews,
Tac Hotel,Ankara,Ulus,89,8.0,2,,3.6 km from center,Economy Double Room,151 reviews,
Antik Otel,Ankara,Ulus,98,7.7,3,,3.2 km from center,Economy Double Room,74 reviews,
Lion City Hotel Ankara,Ankara,Ulus,100,8.2,3,,4.4 km from center,Economy Single Room,345 reviews,
Yavuz Hotel,Ankara,Ulus,103,4.7,0,,3.3 km from center,Double Room,27 reviews,
Mina 1 Hotel,Ankara,Kizilay,107,7.7,2,Breakfast included,1.4 km from center,Single Room,221 reviews,
Enerji Otel,Ankara,Kizilay,126,7.8,3,Breakfast included,1.2 km from center,Budget Single Room,358 reviews,
Asal Hotel,Ankara,Ulus,130,8.3,3,,3.6 km from center,Standard Single Room,115 reviews,
Ismira Hotel Ankara,Ankara,Kizilay,136,6.5,4,Breakfast included,1.3 km from center,Single Room with Shower,130 reviews,
Sahinbey Hotel,Ankara,Ulus,140,8.3,2,,3.2 km from center,Single Room,74 reviews,
Esila Hotel,Ankara,Maltepe,145,7.4,0,,2.2 km from center,Large Single Room,274 reviews,
Lion City Hotel Kizilay,Ankara,Kizilay,148,8.5,0,,1.1 km from center,Standard Single Room,541 reviews,Location 9.4
Grand Sera Hotel,Ankara,Ulus,150,8.4,0,Breakfast included,2.8 km from center,Standard Single Room,257 reviews,
A Hotels & Suite,Ankara,Cankaya,154,8.2,3,,1.6 km from center,Standard Apartment,103 reviews,
Ankara Royal Hotel,Ankara,Kavaklidere,160,7.5,4,,0.7 km from center,Single Room,221 reviews,
ÖZDEMİR HOTEL,Ankara,Kizilay,164,7.8,0,Breakfast included,1.1 km from center,Standard Single Room,85 reviews,Location 9.3
koza millenyum hotel&spa,Ankara,Ankara City-Centre,164,7.2,4,Breakfast included,2.6 km from center,Large Single Room,22 reviews,
Seven Deep Hotel,Ankara,Kavaklidere,168,7.6,3,,0.9 km from center,Small Single Room,68 reviews,
Asrin Park Hotel & Spa Convention Center,Ankara,Oran,187,6.6,4,,6.1 km from center,Basic Single Room,31 reviews,
Niza Park Hotel,Ankara,Cankaya,187,8.3,4,Breakfast included,1.8 km from center,Standard Single Room,126 reviews,
Grand Nora Hotel,Ankara,Gaziosmanpasa,191,8.6,4,Breakfast included,3 km from center,Standard Double Room,42 reviews,
Ontur Butik Hotel,Ankara,Ankara City-Centre,191,8.9,0,,2 km from center,Standard Double Room,135 reviews,
Kahya Hotel Ankara,Ankara,Ankara City-Centre,192,8.3,4,,1.4 km from center,Deluxe Single Room,369 reviews,
King Hotel Cankaya,Ankara,Cankaya,220,7.7,4,Breakfast included,2.9 km from center,Single Room,62 reviews,
ROX Hotel Ankara,Ankara,Kizilay,225,8.3,0,Breakfast included,1.5 km from center,Standard Twin Room,258 reviews,
Check Inn Suite Hotel & SPA,Ankara,Gaziosmanpasa,236,8.6,0,Breakfast included,2.2 km from center,Standard Double or Twin Room,236 reviews,
ibis Ankara Airport Hotel,Ankara,Ankara,237,7.9,3,,23.4 km from center,Standard Room with 1 Double Bed,663 reviews,
Dafne Hotel,Ankara,Ankara,243,7.2,3,Breakfast included,4.6 km from center,Standard Single Room,59 reviews,
Best Western Plus Center Hotel,Ankara,Kizilay,247,8.6,4,Breakfast included,0.5 km from center,Double Room with Two Double Beds,250 reviews,
Demora Hotel,Ankara,Kavaklidere,250,8.6,4,Breakfast included,0.7 km from center,Standard Double Room,368 reviews,
Mimi Hotel Ankara,Ankara,Gaziosmanpasa,253,8.4,4,Breakfast included,2.6 km from center,Standard Double or Twin Room,53 reviews,
Gordion Hotel - Special Class,Ankara,Kavaklidere,254,8.1,0,Breakfast included,1 km from center,Standard Single Room,174 reviews,
Starton Hotel,Ankara,Kizilay,262,8.0,3,Breakfast included,1.2 km from center,Family Room,52 reviews,
Eyuboglu Hotel,Ankara,Kizilay,262,8.6,4,Breakfast included,450 m from center,Double Room,60 reviews,
Ramada by Wyndham Ankara,Ankara,Kavaklidere,281,7.0,4,Breakfast included,1 km from center,Twin Room,34 reviews,
Hm Commerce Hotel,Ankara,Ankara,289,8.3,0,Breakfast included,12.6 km from center,Standard Twin Room,53 reviews,
Ilci Residence Hotel,Ankara,Maltepe,304,8.7,4,Breakfast included,2.4 km from center,Standard Double Room,80 reviews,
CONNECT THERMAL HOTEL,Ankara,Ankara,328,8.2,5,Breakfast & dinner included,35.1 km from center,Standard Double Room,162 reviews,
Ankara Alegria Business Hotel,Ankara,Ankara,342,8.6,5,Breakfast included,9.1 km from center,Deluxe Double or Twin Room,92 reviews,
Ostimpark Business Hotel,Ankara,Ankara,351,7.7,0,,11.3 km from center,Standard Single Room,37 reviews,
Güvenay Business Hotel,Ankara,Maltepe,352,8.5,0,Breakfast included,2.5 km from center,Standard Twin Room,507 reviews,
Limak Ambassadore Hotel Ankara,Ankara,Ankara City-Centre,393,8.5,0,,1.9 km from center,Standard Double or Twin Room,41 reviews,
"Holiday Inn Ankara-Kavaklidere, an IHG Hotel",Ankara,Kavaklidere,395,8.7,4,,400 m from center,Standard Twin Room - Smoking,117 reviews,
Occidental Ankara,Ankara,Kavaklidere,416,9.1,4,,1.4 km from center,Double Room,250 reviews,Location 9.5
Metropolitan Hotels Ankara,Ankara,Ankara,496,8.3,5,,3.3 km from center,Standard Double or Twin Room,332 reviews,
Wyndham Ankara,Ankara,Sogutozu,517,8.6,5,,3.8 km from center,Standard  King Room Smoking ,244 reviews,
Hilton Garden Inn Ankara Gimat,Ankara,Ankara,554,6.9,5,,8.6 km from center,Twin Room,85 reviews,
Grand Ankara Hotel Convention Center,Ankara,Kavaklidere,561,8.2,5,Breakfast included,350 m from center,Standard  Room,159 reviews,
"Holiday Inn Ankara - Cukurambar, an IHG Hotel",Ankara,Ankara,569,9.0,5,,3.9 km from center,Double Room - Mobility Access with Roll-in Shower,101 reviews,
Sheraton Ankara Hotel & Convention Center,Ankara,Ankara City-Centre,718,8.7,5,,1.8 km from center,Classic Double Room with City View,254 reviews,Location 9.3
"Lugal, A Luxury Collection Hotel",Ankara,Ankara City-Centre,1039,9.2,5,Breakfast included,1.8 km from center,Deluxe Queen Room,26 reviews,Location 9.9
ANTIQUE HOUSE (ANTALYA CENTER),Antalya,Antalya,44,6.3,0,,1.1 km from center,Small Single Room,469 reviews,
WAFA's Guest House - Room in Homestay Apartment,Antalya,Antalya,47,10.0,0,,3.2 km from center,Single Room with Shared Shower and Toilet,1 review,Location 10
"APARTMENTS 2 BEDROOMS, 1 BEDROOMS, HOTEL, VILLA - center, old town, beach",Antalya,Antalya,47,6.1,0,,1.2 km from center,Budget Single Room,293 reviews,
CAMP&HOSTEL Antalya,Antalya,Konyaalti Beach,51,8.1,0,,5.6 km from center,Bunk Bed in Female Dormitory Room  ,269 reviews,
hostel vague,Antalya,Antalya,61,8.9,0,,1.2 km from center,Bunk Bed in Mixed Dormitory Room,216 reviews,Location 9.6
Mera Park Hotel,Antalya,Antalya City Center,81,6.8,0,,1.5 km from center,Large Double Room,328 reviews,
Comfort Başaran OTEL,Antalya,Antalya City Center,97,6.9,0,,350 m from center,Standard Single Room,133 reviews,
Dedehan Pansiyon,Antalya,Old Town Kaleici,103,7.3,0,,0.7 km from center,Single Room,124 reviews,Location 9.4
Yeşilyurt otel,Antalya,Antalya City Center,103,8.2,0,,400 m from center,Budget Single Room,195 reviews,
Lupo Libero Hotel,Antalya,Antalya City Center,104,9.4,3,,100 m from center,Standard Double Room,5 reviews,Location 10
Kont Pension,Antalya,Old Town Kaleici,105,8.3,3,,0.9 km from center,Standard Single Room,202 reviews,Location 9.7
Gunay Pansiyon,Antalya,Antalya,108,7.9,0,,3 km from center,Deluxe Queen Room,97 reviews,
